URL,Title,Short Description,Datetime
/article/us-storm-laura-energy/u-s-gulf-of-mexico-oil-output-down-1-29-million-bpd-after-storm-data-shows-idUSKBN25Q0RS,"U.S. Gulf of Mexico oil output down 1.29 million bpd after storm, data shows","U.S. Gulf of Mexico crude oil production on Sunday remained down 70%, or 1.29 million barrels per day, according to data released by the U.S. Department of Interior, as companies continued to return crews to evacuated offshore facilities.",2:11pm EDT
/article/us-usa-election-interference/trump-intel-chief-defends-briefings-ban-democrats-raise-subpoena-threat-idUSKBN25Q0RO,"Trump intel chief defends briefings ban, Democrats raise subpoena threat","U.S. President Donald Trump's intelligence chief on Sunday defended his decision to cease in-person Congressional briefings on election security, while Democrats said the move would suppress critical information about foreign election meddling and warned they may subpoena testimony.",2:05pm EDT
/article/us-mexico-interjet/mexican-airline-interjet-to-boost-domestic-flights-idUSKBN25Q0RB,Mexican airline Interjet to boost domestic flights,"Mexican airline Interjet said on Sunday it will increase the number of routes and frequency of its domestic flights starting in September, including boosting travel options to the country's northern states and popular tourist destinations.",2:00pm EDT
/article/us-lebanon-crisis-government-bassil/lebanons-bassil-says-fpm-will-nominate-adib-as-next-pm-idUSKBN25Q0R1,Lebanon's Bassil says FPM will nominate Adib as next PM,"Lebanon's largest Christian bloc, the Free Patriotic Movement, will nominate the Lebanese ambassador to Germany Mustapha Adib as the country's next prime minister, party leader Gebran Bassil told Reuters on Sunday.",1:51pm EDT
/article/us-lebanon-crisis-government/lebanese-ambassador-adib-poised-to-be-designated-pm-idUSKBN25Q0PL,Lebanese ambassador Adib poised to be designated PM,Lebanon's ambassador to Germany Mustapha Adib is poised to be designated prime minister on Monday after winning the support of major parties to form a new government facing a crippling financial crisis and the aftermath of the Beirut port explosion.,2:27pm EDT
/article/us-lebanon-crisis-government-nomination/hezbollah-amal-to-back-adib-as-lebanons-new-pm-says-source-idUSKBN25Q0Q5,"Hezbollah, Amal to back Adib as Lebanon's new PM, says source","Lebanese Shi'ite groups Hezbollah and Amal will nominate Mustapha Adib to be Lebanon's next prime minister, the candidate put forward by the Future Movement led by main Sunni politician Saad al-Hariri, a senior Shi'ite source said on Sunday.",1:51pm EDT
/article/us-belarus-election/protesters-crowd-minsk-as-belarus-leader-gets-birthday-call-from-putin-idUSKBN25Q0GK,Protesters crowd Minsk as Belarus leader gets birthday call from Putin,"Belarusians chanting ""Happy Birthday, you rat"" and flying red-and-white opposition flags gathered near President Alexander Lukashenko's residence on Sunday as protesters kept up pressure on the veteran leader to resign, before dispersing peacefully.",1:37pm EDT
/article/us-health-coronavirus-india-cases/india-sets-global-record-with-single-day-rise-in-coronavirus-cases-idUSKBN25Q06A,India sets global record with single-day rise in coronavirus cases,"India on Sunday reported the biggest single-day jump in coronavirus infections of any nation in the COVID-19 pandemic, as the epicentre shifts to the south Asian giant.",1:23pm EDT
/article/us-europe-migrants-italy/at-least-three-migrants-die-as-boat-catches-fire-off-italy-idUSKBN25Q0L0,At least three migrants die as boat catches fire off Italy,"At least three migrants, two men and a woman, died when a fire broke out on a boat carrying around 20 of them close to the southern coast of Italy on Sunday, police and health officials said.",1:17pm EDT
/article/us-israel-emirates-usa/trump-adviser-sees-more-arab-muslim-partners-for-israel-after-uae-deal-idUSKBN25Q07A,"Trump adviser sees more Arab, Muslim partners for Israel after UAE deal",U.S. President Donald Trump's national security adviser said on Sunday more Arab and Muslim countries were likely to follow the United Arab Emirates in normalising relations with Israel.,12:29pm EDT
