URL,Title,Short Description,Datetime
/article/us-israel-emirates-usa-saudi/israeli-delegation-plane-will-fly-over-saudi-to-uae-source-says-idUSKBN25Q0N9,"Israeli delegation plane will fly over Saudi to UAE, source says","An airliner carrying Israeli and U.S. delegations to the UAE on Monday will fly over Saudi Arabia, according to a source familiar with the itinerary, in what would be the first publicly acknowledged entry of an Israeli plane into Saudi air space.",12:29pm EDT
/article/us-congo-security-doctor/u-n-says-life-of-congos-nobel-laureate-doctor-in-danger-idUSKBN25O1V4,U.N. says life of Congo's Nobel Laureate doctor in danger,"The life of a top Congolese doctor who won the Nobel Peace prize for his work treating war rape victims is in danger after a series of death threats, the U.N. High Commissioner for Human Rights said on Friday.",12:19pm EDT
/article/us-health-coronavirus-dance-competition/a-digital-dance-off-spreads-from-argentina-to-the-world-idUSKBN25Q0H5,A digital dance-off spreads from Argentina to the world,"With theaters closed around the world, three South American dancers have created a digital dance-off for aspiring twirlers, with Instagram the new stage where competitors from Argentina and Brazil to Israel and Italy post clips of their moves.",12:03pm EDT
/article/us-health-coronavirus-britain-flight/zante-flight-to-cardiff-told-to-self-isolate-after-covid-cases-found-idUSKBN25Q0OF,Zante flight to Cardiff told to self isolate after COVID cases found,"Passengers who were on a flight from Zante on the Greek island of Zakynthos to Cardiff in Wales last week have been told to isolate after it was identified as the source of at least seven confirmed coronavirus cases, Public Health Wales said on Sunday.",11:56am EDT
/article/us-health-coronavirus-fernando-de-noronh/brazil-tourist-spot-fernando-de-noronha-bets-on-covid-19-immunity-in-novel-strategy-idUSKBN25Q0N7,Brazil tourist spot Fernando de Noronha bets on COVID-19 immunity in novel strategy,"Fernando de Noronha, an archipelago 220 miles (354 km) off Brazil's northeastern coast famous for abundant sea life, pristine beaches and dramatic mountainsides rising above the coast, is trying a novel method for fighting the coronavirus.",11:26am EDT
/article/us-eneos-strategy/japans-eneos-to-hasten-refinery-consolidation-as-virus-slams-demand-at-home-idUSKBN25Q0MK,Japan's Eneos to hasten refinery consolidation as virus slams demand at home,"Japan's biggest oil refiner Eneos Holdings Inc  will hasten its transformation into a supplier of low-carbon energy and materials as domestic oil demand drops more than expected due to the COVID-19 pandemic, new President Katsuyuki Ota said.",11:03am EDT
/article/us-global-race-protests-montreal/statue-of-canadas-first-prime-minister-toppled-by-protesters-demanding-police-defunding-idUSKBN25Q0LS,Statue of Canada's first prime minister toppled by protesters demanding police defunding,"A statue of Canada's first Prime Minister Sir John Macdonald was toppled in downtown Montreal by protesters marching in support of defunding police, government officials said.",10:46am EDT
/article/us-usa-tiktok-china/chinas-new-tech-export-controls-could-give-beijing-a-say-in-tiktok-sale-idUSKBN25Q05Q,China's new tech export controls could give Beijing a say in TikTok sale,"China's new rules around tech exports mean ByteDance's sale of TikTok's U.S. operations could need Beijing's approval, a Chinese trade expert told state media, a requirement that would complicate the forced and politically charged divestment.",10:43am EDT
/article/us-europe-migrants-banksy-alarm/italy-sends-help-to-banksys-overloaded-migrant-rescue-boat-idUSKBN25P0EP,Italy sends help to Banksy's overloaded migrant rescue boat,"The Italian coastguard sent help on Saturday to a rescue boat funded by British street artist Banksy after the vessel issued urgent calls for assistance, saying it was stranded in the Mediterranean and overloaded with migrants.",10:38am EDT
/article/us-mauritius-environment-protests/thousands-protest-in-mauritius-over-dead-dolphins-demand-resignations-idUSKBN25P0G8,"Thousands protest in Mauritius over dead dolphins, demand resignations",Thousands of protesters demonstrated in the Mauritius capital Port Louis on Saturday to demand an investigation into an oil spill from a Japanese ship and the mysterious death of at least 40 dolphins that have been found near the site of the spill.,10:36am EDT
